data,value
2020-02-24,221
2020-02-25,93
2020-02-26,78
2020-02-27,250
2020-02-28,238
2020-02-29,240
2020-03-01,566
2020-03-02,342
2020-03-03,466
2020-03-04,587
2020-03-05,769
2020-03-06,778
2020-03-07,1247
2020-03-08,1492
2020-03-09,1797
2020-03-10,977
2020-03-11,2313
2020-03-12,2651
2020-03-13,2547
2020-03-14,3497
2020-03-15,3590
2020-03-16,3233
2020-03-17,3526
2020-03-18,4207
2020-03-19,5322
2020-03-20,5986
2020-03-21,6557
2020-03-22,5560
2020-03-23,4789
2020-03-24,5249
2020-03-25,5210
2020-03-26,6153
2020-03-27,5959
2020-03-28,5974
2020-03-29,5217
2020-03-30,4050
2020-03-31,4053
2020-04-01,4782
2020-04-02,4668
2020-04-03,4585
2020-04-04,4805
2020-04-05,4316
2020-04-06,3599
2020-04-07,3039
2020-04-08,3836
2020-04-09,4204
2020-04-10,3951
2020-04-11,4694
2020-04-12,4092
2020-04-13,3153
2020-04-14,2972
2020-04-15,2667
2020-04-16,3786
2020-04-17,3493
2020-04-18,3491
2020-04-19,3047
2020-04-20,2256
2020-04-21,2729
2020-04-22,3370
2020-04-23,2646
2020-04-24,3021
2020-04-25,2357
2020-04-26,2324
2020-04-27,1739
2020-04-28,2091
2020-04-29,2086
2020-04-30,1872
2020-05-01,1965
2020-05-02,1900
2020-05-03,1389
2020-05-04,1221
2020-05-05,1075
2020-05-06,1444
2020-05-07,1401
2020-05-08,1327
2020-05-09,1083
2020-05-10,802
2020-05-11,744
2020-05-12,1402
2020-05-13,888
2020-05-14,992
2020-05-15,789
2020-05-16,875
2020-05-17,675
2020-05-18,451
2020-05-19,813
2020-05-20,665
2020-05-21,642
2020-05-22,652
2020-05-23,669
2020-05-24,531
2020-05-25,300
2020-05-26,397
2020-05-27,584
2020-05-28,593
2020-05-29,516
2020-05-30,416
2020-05-31,355
2020-06-01,178
2020-06-02,318
2020-06-03,321
2020-06-04,177
2020-06-05,518
2020-06-06,270
2020-06-07,197
2020-06-08,280
2020-06-09,283
2020-06-10,202
2020-06-11,379
2020-06-12,163
2020-06-13,346
2020-06-14,338
2020-06-15,303
2020-06-16,210
2020-06-17,329
2020-06-18,333
2020-06-19,251
2020-06-20,262
2020-06-21,224
2020-06-22,218
2020-06-23,122
2020-06-24,190
2020-06-25,296
2020-06-26,259
2020-06-27,175
2020-06-28,174
2020-06-29,126
2020-06-30,142
2020-07-01,187
2020-07-02,201
2020-07-03,223
2020-07-04,235
2020-07-05,192
2020-07-06,208
2020-07-07,138
2020-07-08,193
2020-07-09,229
2020-07-10,276
2020-07-11,188
2020-07-12,234
2020-07-13,169
2020-07-14,114
2020-07-15,163
2020-07-16,230
2020-07-17,233
2020-07-18,249
2020-07-19,219
2020-07-20,190
2020-07-21,129
2020-07-22,282
2020-07-23,306
2020-07-24,252
2020-07-25,275
2020-07-26,255
2020-07-27,170
2020-07-28,212
2020-07-29,289
2020-07-30,386
2020-07-31,379
2020-08-01,295
2020-08-02,239
2020-08-03,159
2020-08-04,190
2020-08-05,384
2020-08-06,402
2020-08-07,552
2020-08-08,347
2020-08-09,463
2020-08-10,259
2020-08-11,412
2020-08-12,481
2020-08-13,523
2020-08-14,574
2020-08-15,629
2020-08-16,479
2020-08-17,320
2020-08-18,403
2020-08-19,642
2020-08-20,845
2020-08-21,947
2020-08-22,1071
2020-08-23,1210
2020-08-24,953
2020-08-25,878
2020-08-26,1367
2020-08-27,1411
2020-08-28,1462
2020-08-29,1444
2020-08-30,1365
2020-08-31,996
2020-09-01,978
2020-09-02,1326
2020-09-03,1397
2020-09-04,1733
2020-09-05,1694
2020-09-06,1297
2020-09-07,1108
2020-09-08,1370
2020-09-09,1434
2020-09-10,1597